Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
Balmer Lawrie Investments Limited (BSE:532485),BSE:532485,Industrials (Primary); Consumer Discretionary; Energy; Materials; Materials, 17.2 , 8.83 ,-,-,-,-, 12.0 , 0.645 , 6.54 ,Mumbai Stock Exchange (BSE),-
BALMUDA Inc. (TSE:6612),TSE:6612,Consumer Discretionary (Primary); Consumer Staples; Industrials, 49.6 , 77.14 , 10.1 ,-, 25.7 , 2.14 , 12.5 , 1.78 , 19.4 ,The Tokyo Stock Exchange (TSE),-
"Balnibarbi Co.,Ltd. (TSE:3418)",TSE:3418,Consumer Discretionary (Primary); Industrials; Real Estate, 166.3 , 14.92 , 4.31 , (10.5)  , 2.47 , 1.22 , (6.82)  , 1.06 , 73.8 ,The Tokyo Stock Exchange (TSE),-
Bâloise Holding AG (SWX:BALN),SWX:BALN,Financials (Primary), 15.2 , 212.63 , 0.946 , (2.61)  , 6.25 , 2.24 , 10.6 , 0.097 , 41.3 ,SIX Swiss Exchange (SWX),"DB:BLON
Company: Bâloise Holding AG
(IQT24885290) - Deutsche Boerse AG (DB)

LSE:0QQ3
Company: Bâloise Holding AG
(IQT25866018) - London Stock Exchange (LSE)"
"Balpaver Capital, Sicav, S.A. (BME:S0326)",BME:S0326,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
Balrampur Chini Mills Limited (BSE:500038),BSE:500038,Consumer Staples (Primary); Materials; Materials; Utilities, 15.6 , 6.53 , 2.81 , 3.48 , 19.1 , 1.63 , 14.8 , 1.02 , 30.2 ,Mumbai Stock Exchange (BSE),"NSEI:BALRAMCHIN
Company: Balrampur Chini Mills Limited
(IQT46356286) - National Stock Exchange of India (NSEI)"
Balta Group NV (ENXTBR:BALTA),ENXTBR:BALTA,Consumer Discretionary (Primary); Industrials,NM, 4.6 , 0.465 , (5.29)  , (5.17)  , 1.26 , 10.4 , 0.706 , 63.0 ,Euronext Brussels (ENXTBR),"DB:BDB
Company: Balta Group NV
(IQT434205872) - Deutsche Boerse AG (DB)

LSE:0RQK
Company: Balta Group NV
(IQT434217138) - London Stock Exchange (LSE)"
Baltic Horizon Fund (TLSE:NHCBHFFT),TLSE:NHCBHFFT,Real Estate (Primary),NM, 1.87 , 1.02 , 18.9 , (10.4)  , 0.365 ,-, 0.073 , 60.4 ,OMX Nordic Exchange Tallinn (TLSE),"OM:NHCBHFFS
Company: Baltic Horizon Fund
(IQT411775622) - OMX Nordic Exchange Stockholm (OM)"
Balu Forge Industries Limited (BSE:531112),BSE:531112,Industrials (Primary); Information Technology, 226.4 , 3.94 , 23.0 ,-,-,-,-, 0.547 ,-,Mumbai Stock Exchange (BSE),-
Balurghat Technologies Limited (BSE:520127),BSE:520127,Industrials (Primary); Consumer Discretionary, 43.2 , 0.238 , 2.4 , 31.3 ,-,-, 2.46 , 4.41 , 45.1 ,Mumbai Stock Exchange (BSE),-
Balyo SA (ENXTPA:BALYO),ENXTPA:BALYO,Industrials (Primary),NM, 2.24 ,NM, 9.74 , (543.0)  , 1.28 , (32.8)  , 0.682 , 119.3 ,Euronext Paris (ENXTPA),"DB:1BO
Company: Balyo SA
(IQT555541415) - Deutsche Boerse AG (DB)

LSE:0RQF
Company: Balyo SA
(IQT434256620) - London Stock Exchange (LSE)"
Bam Bam Resources Corp. (CNSX:BBR),CNSX:BBR,Materials (Primary); Materials (Primary),NM, 0.245 , 4.75 ,-, (306.0)  , 5.88 ,-,-, 9.84 ,-,"DB:4NPB
Company: Bam Bam Resources Corp.
(IQT561689703) - Deutsche Boerse AG (DB)"
Bambino Agro Industries Limited (BSE:519295),BSE:519295,Consumer Staples (Primary), 24.2 , 4.8 , 3.12 , 20.7 ,-,-, 7.72 , 1.54 , 55.3 ,Mumbai Stock Exchange (BSE),-
Bamboos Health Care Holdings Limited (SEHK:2293),SEHK:2293,Health Care (Primary); Communication Services; Industrials, 9.91 , 0.144 , 2.04 , 0.411 , 21.6 , 2.76 , 51.5 , 0.421 , 3.62 ,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Bambu 2001 de Inversiones SICAV S.A. (BME:S0327),BME:S0327,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
Bambuser AB (publ) (OM:BUSER),OM:BUSER,Communication Services (Primary); Information Technology,NM, 2.45 , 4.23 , 88.6 , (28.2)  , 14.6 , (179.8)  , 0.209 , 0.121 ,OMX Nordic Exchange Stockholm (OM),"DB:5JL
Company: Bambuser AB (publ)
(IQT670543778) - Deutsche Boerse AG (DB)"
Bampsl Securities Limited (BSE:531591),BSE:531591,Financials (Primary),NM, 0.048 , 2.51 , (65.4)  , 0.054 , 140.3 ,-, 0.015 ,-,Mumbai Stock Exchange (BSE),-
Ban Leong Technologies Limited (SGX:B26),SGX:B26,Information Technology (Primary); Consumer Discretionary, 6.24 , 0.38 , 1.17 , 4.82 , 19.8 , 2.17 , 4.44 , 2.61 , 10.2 ,Singapore Exchange (SGX),-
Ban Loong Holdings Limited (SEHK:30),SEHK:30,Consumer Staples (Primary); Financials; Industrials, 51.9 , 0.065 , 2.88 , 25.3 , 5.73 , 7.31 , 5.65 , 1.27 , 9.35 ,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Banaras Beads Limited (BSE:526849),BSE:526849,Consumer Discretionary (Primary), 15.7 , 1.0 , 0.758 , (4.87)  , 4.9 , 5.74 , 16.4 , 0.387 , 7.96 ,Mumbai Stock Exchange (BSE),"NSEI:BANARBEADS
Company: Banaras Beads Limited
(IQT145032852) - National Stock Exchange of India (NSEI)"
Banas Finance Limited (BSE:509053),BSE:509053,Financials (Primary), 1.91 , 0.124 , 0.1 , 44.6 ,-,-,-, 0.093 , 11.6 ,Mumbai Stock Exchange (BSE),-
"BanBao Co., Ltd. (SHSE:603398)",SHSE:603398,Consumer Discretionary (Primary), 83.9 , 1.9 , 3.5 , 13.9 , 4.26 , 2.59 , 19.5 , 0.485 , 16.6 ,Shanghai Stock Exchange (SHSE),-
"Banc of California, Inc. (NYSE:BANC)",NYSE:BANC,Financials (Primary), 54.1 , 23.23 , 1.26 , (5.72)  , 4.09 ,-,-,-,-,New York Stock Exchange (NYSE),"DB:FPB
Company: Banc of California, Inc.
(IQT243241227) - Deutsche Boerse AG (DB)"
Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia (BIT:CRG),BIT:CRG,Financials (Primary),NM,-, 0.866 ,-,-,-,-,-,-,Borsa Italiana (BIT),"DB:BJ5
Company: Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia
(IQT20130698) - Deutsche Boerse AG (DB)

BIT:CRGR
Company: Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia
(IQT20178954) - Borsa Italiana (BIT)

LSE:0R7M
Company: Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia
(IQT37839638) - London Stock Exchange (LSE)"
Banca Finnat Euramerica S.p.A. (BIT:BFE),BIT:BFE,Financials (Primary); Industrials,-, 0.458 ,-, (13.3)  , 3.1 ,-,-,-,-,Borsa Italiana (BIT),-
Banca Generali S.p.A. (BIT:BGN),BIT:BGN,Financials (Primary), 12.8 , 57.9 , 3.2 , 13.3 , 28.8 ,-,-,-,-,Borsa Italiana (BIT),"DB:B7A
Company: Banca Generali S.p.A.
(IQT33250015) - Deutsche Boerse AG (DB)

LSE:0DQZ
Company: Banca Generali S.p.A.
(IQT37839678) - London Stock Exchange (LSE)"
Banca IFIS S.p.A. (BIT:IF),BIT:IF,Financials (Primary), 11.7 , 21.55 , 0.474 , (8.4)  , 4.08 ,-,-,-,-,Borsa Italiana (BIT),"DB:0I6
Company: Banca IFIS S.p.A.
(IQT241269538) - Deutsche Boerse AG (DB)

LSE:0NBX
Company: Banca IFIS S.p.A.
(IQT37940747) - London Stock Exchange (LSE)"
Banca Intermobiliare di Investimenti e Gestioni SpA (BIT:BIM),BIT:BIM,Financials (Primary),NM, 0.066 , 0.959 , 8.89 , (17.6)  ,-,-,-,-,Borsa Italiana (BIT),"LSE:0DRM
Company: Banca Intermobiliare di Investimenti e Gestioni SpA
(IQT37839716) - London Stock Exchange (LSE)"
Banca Mediolanum S.p.A. (BIT:BMED),BIT:BMED,Financials (Primary), 12.6 , 13.14 , 2.06 , 11.6 , 18.7 ,-,-,-,-,Borsa Italiana (BIT),"DB:ME1
Company: Banca Mediolanum S.p.A.
(IQT422555689) - Deutsche Boerse AG (DB)

LSE:0RDO
Company: Banca Mediolanum S.p.A.
(IQT321274461) - London Stock Exchange (LSE)"
Banca Monte dei Paschi di Siena S.p.A. (BIT:BMPS),BIT:BMPS,Financials (Primary); Information Technology,NM, 1.86 , 0.189 ,-, (19.1)  ,-,-,-,-,Borsa Italiana (BIT),"DB:MPIN
Company: Banca Monte dei Paschi di Siena S.p.A.
(IQT28574767) - Deutsche Boerse AG (DB)

LSE:0RK6
Company: Banca Monte dei Paschi di Siena S.p.A.
(IQT25866020) - London Stock Exchange (LSE)"
Banca Popolare di Sondrio S.C.p.A. (BIT:BPSO),BIT:BPSO,Financials (Primary); Consumer Discretionary; Real Estate, 7.83 , 5.78 , 0.545 , 5.06 , 7.18 ,-,-,-,-,Borsa Italiana (BIT),"DB:593
Company: Banca Popolare di Sondrio S.C.p.A.
(IQT79044492) - Deutsche Boerse AG (DB)

LSE:0NWJ
Company: Banca Popolare di Sondrio S.C.p.A.
(IQT37839644) - London Stock Exchange (LSE)"
Banca Profilo S.p.A. (BIT:PRO),BIT:PRO,Financials (Primary); Industrials; Real Estate,-, 0.342 ,-, 1.39 , 5.54 ,-,-,-,-,Borsa Italiana (BIT),"DB:BPA
Company: Banca Profilo S.p.A.
(IQT260176108) - Deutsche Boerse AG (DB)

LSE:0FP9
Company: Banca Profilo S.p.A.
(IQT37839685) - London Stock Exchange (LSE)"
Banca Sistema S.p.A. (BIT:BST),BIT:BST,Financials (Primary), 6.68 , 3.33 , 0.851 , 5.98 , 12.9 ,-,-,-,-,Borsa Italiana (BIT),"DB:B2S
Company: Banca Sistema S.p.A.
(IQT574502957) - Deutsche Boerse AG (DB)

LSE:0R9H
Company: Banca Sistema S.p.A.
(IQT307061287) - London Stock Exchange (LSE)"
Banca Transilvania S.A. (BVB:TLV),BVB:TLV,Financials (Primary), 9.12 , 0.907 , 1.49 , 10.1 , 17.6 ,-,-,-,-,-,"LSE:0DP9
Company: Banca Transilvania S.A.
(IQT37839647) - London Stock Exchange (LSE)"
BancFirst Corporation (NasdaqGS:BANF),NasdaqGS:BANF,Financials (Primary); Real Estate, 18.0 , 84.71 , 1.94 , 5.64 , 11.3 ,-,-,-,-,Nasdaq Global Select (NasdaqGS),-
Banco ABC Brasil S.A. (BOVESPA:ABCB4),BOVESPA:ABCB4,Financials (Primary), 9.57 , 4.45 , 0.858 , (2.2)  , 5.82 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:ABCB10
Company: Banco ABC Brasil S.A.
(IQT670621046) - Bolsa de Valores de Sao Paulo (BOVESPA)"
"Banco Actinver S.A., Institución de Banca Múltiple, Grupo Financiero Actinver (BMV:FNOVA 17)",BMV:FNOVA 17,Financials (Primary); Real Estate,NM, 1.42 , 0.013 , 0.312 , (2.06)  ,-,-,-,-,Bolsa Mexicana de Valores (BMV),"BMV:FORION 20
Company: Banco Actinver S.A., Institución de Banca Múltiple, Grupo Financiero Actinver
(IQT693052845) - Bolsa Mexicana de Valores (BMV)

BMV:FSITES 20
Company: Banco Actinver S.A., Institución de Banca Múltiple, Grupo Financiero Actinver
(IQT677914244) - Bolsa Mexicana de Valores (BMV)

BMV:INFRAEX 18
Company: Banco Actinver S.A., Institución de Banca Múltiple, Grupo Financiero Actinver
(IQT570657006) - Bolsa Mexicana de Valores (BMV)"
Banco Alfa de Investimento S.A. (BOVESPA:BRIV4),BOVESPA:BRIV4,Financials (Primary), 10.1 , 2.33 , 0.515 , 15.4 , 5.17 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:BRIV3
Company: Banco Alfa de Investimento S.A.
(IQT20146883) - Bolsa de Valores de Sao Paulo (BOVESPA)"
Banco BBVA Argentina S.A. (BASE:BBAR),BASE:BBAR,Financials (Primary), 9.2 , 2.68 , 1.03 , 41.0 , 12.5 ,-,-,-,-,-,"DB:BFP
Company: Banco BBVA Argentina S.A.
(IQT243075110) - Deutsche Boerse AG (DB)

DB:BDPA
Company: Banco BBVA Argentina S.A.
(IQT31781243) - Deutsche Boerse AG (DB)

NYSE:BBAR
Company: Banco BBVA Argentina S.A.
(IQT2593769) - New York Stock Exchange (NYSE)

BME:XBFR
Company: Banco BBVA Argentina S.A.
(IQT20240665) - Bolsas y Mercados Espanoles (BME)"
"Banco Bilbao Vizcaya Argentaria, S.A. (BME:BBVA)",BME:BBVA,Financials (Primary); Real Estate, 11.1 , 8.45 , 0.798 , (7.51)  , 8.92 ,-,-,-,-,Bolsas y Mercados Espanoles (BME),"ENXTBR:BBV
Company: Banco Bilbao Vizcaya Argentaria, S.A.
(IQT541708984) - Euronext Brussels (ENXTBR)

BMV:BBVA *
Company: Banco Bilbao Vizcaya Argentaria, S.A.
(IQT23604716) - Bolsa Mexicana de Valores (BMV)

LSE:0A2B
Company: Banco Bilbao Vizcaya Argentaria, S.A.
(IQT634582990) - London Stock Exchange (LSE)

XTRA:BOY
Company: Banco Bilbao Vizcaya Argentaria, S.A.
(IQT32517326) - XETRA Trading Platform (XTRA)

XTRA:BBVA
Company: Banco Bilbao Vizcaya Argentaria, S.A.
(IQT32516959) - XETRA Trading Platform (XTRA)"
Banco BMG S.A. (BOVESPA:BMGB4),BOVESPA:BMGB4,Financials (Primary), 8.98 , 1.32 , 0.714 , 31.0 , 8.0 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),-
"Banco BPI, S.A.",-,Financials (Primary),-,-,-, (9.93)  , 3.13 ,-,-,-,-,-,"DB:BPI
Company: Banco BPI, S.A.
(IQT20208700) - Deutsche Boerse AG (DB)"
Banco BPM S.p.A. (BIT:BAMI),BIT:BAMI,Financials (Primary),NM, 4.42 , 0.339 , 2.47 , (0.282)  ,-,-,-,-,Borsa Italiana (BIT),"DB:BPM
Company: Banco BPM S.p.A.
(IQT414631037) - Deutsche Boerse AG (DB)

LSE:0RLA
Company: Banco BPM S.p.A.
(IQT412396014) - London Stock Exchange (LSE)"
Banco Bradesco S.A. (BOVESPA:BBDC4),BOVESPA:BBDC4,Financials (Primary), 13.8 , 7.1 , 1.78 , 2.26 , 13.7 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"DB:BRE
Company: Banco Bradesco S.A.
(IQT20245527) - Deutsche Boerse AG (DB)

BMV:BBD N
Company: Banco Bradesco S.A.
(IQT38847237) - Bolsa Mexicana de Valores (BMV)

LSE:0HL8
Company: Banco Bradesco S.A.
(IQT549652956) - London Stock Exchange (LSE)

NYSE:BBDO
Company: Banco Bradesco S.A.
(IQT181960504) - New York Stock Exchange (NYSE)

BME:XBBDC
Company: Banco Bradesco S.A.
(IQT20243772) - Bolsas y Mercados Espanoles (BME)"
Banco BTG Pactual S.A. (BOVESPA:BPAC3),BOVESPA:BPAC3,Financials (Primary), 44.8 , 19.89 , 6.67 , 37.0 , 16.8 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:BPAC9
Company: Banco BTG Pactual S.A.
(IQT712806709) - Bolsa de Valores de Sao Paulo (BOVESPA)

BOVESPA:BPAC12
Company: Banco BTG Pactual S.A.
(IQT712806708) - Bolsa de Valores de Sao Paulo (BOVESPA)

BOVESPA:BPAC9
Company: Banco BTG Pactual S.A.
(IQT670658503) - Bolsa de Valores de Sao Paulo (BOVESPA)

BOVESPA:BPAC11
Company: Banco BTG Pactual S.A.
(IQT420234607) - Bolsa de Valores de Sao Paulo (BOVESPA)

BOVESPA:BPAC5
Company: Banco BTG Pactual S.A.
(IQT200646020) - Bolsa de Valores de Sao Paulo (BOVESPA)"
"Banco Comercial Português, S.A. (ENXTLS:BCP)",ENXTLS:BCP,Financials (Primary); Real Estate, 12.9 , 0.227 , 0.353 , 5.57 , 2.66 ,-,-,-,-,-,"DB:BCPN
Company: Banco Comercial Português, S.A.
(IQT32686193) - Deutsche Boerse AG (DB)

LSE:0RJN
Company: Banco Comercial Português, S.A.
(IQT37839719) - London Stock Exchange (LSE)"
Banco da Amazônia S.A. (BOVESPA:BAZA3),BOVESPA:BAZA3,Financials (Primary), 3.57 , 10.84 , 0.484 , 22.5 , 14.4 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),-
Banco de Chile (SNSE:CHILE),SNSE:CHILE,Financials (Primary), 15.3 , 0.135 , 1.96 , 0.628 , 13.3 ,-,-,-,-,-,"DB:G4RA
Company: Banco de Chile
(IQT28625382) - Deutsche Boerse AG (DB)

NYSE:BCH
Company: Banco de Chile
(IQT2592814) - New York Stock Exchange (NYSE)"
"Banco de Sabadell, S.A. (BME:SAB)",BME:SAB,Financials (Primary),NM, 0.924 , 0.267 , (9.44)  , (0.11)  ,-,-,-,-,Bolsas y Mercados Espanoles (BME),"DB:BDSB
Company: Banco de Sabadell, S.A.
(IQT127757171) - Deutsche Boerse AG (DB)

LSE:0H00
Company: Banco de Sabadell, S.A.
(IQT38742703) - London Stock Exchange (LSE)"
"Banco del Bajío, S.A., Institución de Banca Múltiple (BMV:BBAJIO O)",BMV:BBAJIO O,Financials (Primary), 13.6 , 2.4 , 1.19 , (0.718)  , 9.14 ,-,-,-,-,Bolsa Mexicana de Valores (BMV),-
Banco di Desio e della Brianza S.p.A. (BIT:BDB),BIT:BDB,Financials (Primary), 11.3 , 5.06 , 0.409 , 1.14 , 3.8 ,-,-,-,-,Borsa Italiana (BIT),"BIT:BDBR
Company: Banco di Desio e della Brianza S.p.A.
(IQT20205460) - Borsa Italiana (BIT)

LSE:0O5V
Company: Banco di Desio e della Brianza S.p.A.
(IQT37839653) - London Stock Exchange (LSE)"
Banco do Brasil S.A. (BOVESPA:BBAS3),BOVESPA:BBAS3,Financials (Primary); Consumer Discretionary; Industrials; Information Technology, 6.96 , 8.83 , 0.693 , 3.79 , 12.3 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"DB:BZLA
Company: Banco do Brasil S.A.
(IQT281584619) - Deutsche Boerse AG (DB)"
Banco do Estado de Sergipe S.A. (BOVESPA:BGIP4),BOVESPA:BGIP4,Financials (Primary); Industrials, 6.41 , 6.76 , 0.779 , 8.37 , 14.6 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:BGIP3
Company: Banco do Estado de Sergipe S.A.
(IQT20235620) - Bolsa de Valores de Sao Paulo (BOVESPA)"
Banco do Estado do Pará S.A. (BOVESPA:BPAR3),BOVESPA:BPAR3,Financials (Primary), 7.06 ,-, 1.12 , 3.84 , 16.6 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),-
Banco do Estado do Rio Grande do Sul S.A. (BOVESPA:BRSR6),BOVESPA:BRSR6,Financials (Primary), 7.41 , 3.62 , 0.646 , 2.48 , 9.0 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:BRSR5
Company: Banco do Estado do Rio Grande do Sul S.A.
(IQT35170905) - Bolsa de Valores de Sao Paulo (BOVESPA)

BOVESPA:BRSR3
Company: Banco do Estado do Rio Grande do Sul S.A.
(IQT20147015) - Bolsa de Valores de Sao Paulo (BOVESPA)"
Banco do Nordeste do Brasil S.A. (BOVESPA:BNBR3),BOVESPA:BNBR3,Financials (Primary), 5.5 , 18.21 , 0.899 , 20.4 , 17.6 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),-
Banco Inter S.A. (BOVESPA:BIDI4),BOVESPA:BIDI4,Financials (Primary),NM, 6.45 , 16.6 , 56.8 , 1.28 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:BIDI3
Company: Banco Inter S.A.
(IQT629995567) - Bolsa de Valores de Sao Paulo (BOVESPA)

BOVESPA:BIDI11
Company: Banco Inter S.A.
(IQT628659831) - Bolsa de Valores de Sao Paulo (BOVESPA)"
"Banco Latinoamericano de Comercio Exterior, S.A (NYSE:BLX)",NYSE:BLX,Financials (Primary), 10.8 , 20.99 , 0.606 , (8.08)  , 5.66 ,-,-,-,-,New York Stock Exchange (NYSE),"DB:D8Q
Company: Banco Latinoamericano de Comercio Exterior, S.A
(IQT260127243) - Deutsche Boerse AG (DB)"
Banco Macro S.A. (BASE:BMA),BASE:BMA,Financials (Primary); Industrials, 7.55 , 3.72 , 1.01 , 33.6 , 15.8 ,-,-,-,-,-,"DB:B4W
Company: Banco Macro S.A.
(IQT26477836) - Deutsche Boerse AG (DB)

BMV:BMA N
Company: Banco Macro S.A.
(IQT423667527) - Bolsa Mexicana de Valores (BMV)

NYSE:BMA
Company: Banco Macro S.A.
(IQT26477763) - New York Stock Exchange (NYSE)"
Banco Mercantil de Investimentos S.A. (BOVESPA:BMIN4),BOVESPA:BMIN4,Financials (Primary), 49.7 , 5.74 , 0.833 , (3.13)  , 1.69 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:BMIN3
Company: Banco Mercantil de Investimentos S.A.
(IQT20146852) - Bolsa de Valores de Sao Paulo (BOVESPA)"
Banco Mercantil do Brasil S.A. (BOVESPA:BMEB4),BOVESPA:BMEB4,Financials (Primary); Real Estate, 6.75 , 5.4 , 1.01 , 8.57 , 15.3 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:BMEB3
Company: Banco Mercantil do Brasil S.A.
(IQT20147028) - Bolsa de Valores de Sao Paulo (BOVESPA)"
Banco Modal S.A. (BOVESPA:MODL3),BOVESPA:MODL3,Financials (Primary); Real Estate, 61.4 , 1.87 , 6.78 , 43.8 , 13.0 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:MODL11
Company: Banco Modal S.A.
(IQT713601810) - Bolsa de Valores de Sao Paulo (BOVESPA)

BOVESPA:MODL4
Company: Banco Modal S.A.
(IQT61520594) - Bolsa de Valores de Sao Paulo (BOVESPA)"
Banco Pan S.A. (BOVESPA:BPAN4),BOVESPA:BPAN4,Financials (Primary), 41.7 , 6.55 , 5.18 , 12.8 , 12.9 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),-
Banco Pine S.A. (BOVESPA:PINE4),BOVESPA:PINE4,Financials (Primary),NM, 0.833 , 0.612 ,-, (7.64)  ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),-
Banco Products (India) Limited (BSE:500039),BSE:500039,Consumer Discretionary (Primary), 12.1 , 2.95 , 1.66 , 4.69 , 14.8 , 3.21 , 11.6 , 1.32 , 1.63 ,Mumbai Stock Exchange (BSE),"NSEI:BANCOINDIA
Company: Banco Products (India) Limited
(IQT46356226) - National Stock Exchange of India (NSEI)"
Banco Santander (Brasil) S.A. (BOVESPA:SANB4),BOVESPA:SANB4,Financials (Primary); Communication Services; Industrials, 11.8 , 5.87 , 1.53 , 5.24 , 13.3 ,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),"BOVESPA:SANB11
Company: Banco Santander (Brasil) S.A.
(IQT69995555) - Bolsa de Valores de Sao Paulo (BOVESPA)

BOVESPA:SANB3
Company: Banco Santander (Brasil) S.A.
(IQT20190308) - Bolsa de Valores de Sao Paulo (BOVESPA)

DB:DBSA
Company: Banco Santander (Brasil) S.A.
(IQT76255426) - Deutsche Boerse AG (DB)

BMV:BSBR N
Company: Banco Santander (Brasil) S.A.
(IQT83759353) - Bolsa Mexicana de Valores (BMV)

NYSE:BSBR
Company: Banco Santander (Brasil) S.A.
(IQT72921953) - New York Stock Exchange (NYSE)"
"Banco Santander México, S.A., Institución de Banca Múltiple, Grupo Financiero Santander México (BMV:BSMX B)",BMV:BSMX B,Financials (Primary), 9.53 , 1.69 , 1.07 , 5.87 , 12.0 ,-,-,-,-,Bolsa Mexicana de Valores (BMV),"NYSE:BSMX
Company: Banco Santander México, S.A., Institución de Banca Múltiple, Grupo Financiero Santander México
(IQT554706843) - New York Stock Exchange (NYSE)"
Banco Santander Río S.A. (BASE:BRIO),BASE:BRIO,Financials (Primary), 7.4 , 0.293 , 0.684 , 51.0 , 11.1 ,-,-,-,-,-,"BME:XBRSB
Company: Banco Santander Río S.A.
(IQT20240666) - Bolsas y Mercados Espanoles (BME)"
"Banco Santander, S.A. (BME:SAN)",BME:SAN,Financials (Primary),NM, 5.23 , 0.704 , (5.67)  , (6.44)  ,-,-,-,-,Bolsas y Mercados Espanoles (BME),"ENXTBR:SANTA
Company: Banco Santander, S.A.
(IQT541708980) - Euronext Brussels (ENXTBR)

DB:BSDK
Company: Banco Santander, S.A.
(IQT54899625) - Deutsche Boerse AG (DB)

DB:BSD2
Company: Banco Santander, S.A.
(IQT32517519) - Deutsche Boerse AG (DB)

LSE:0HLE
Company: Banco Santander, S.A.
(IQT549652343) - London Stock Exchange (LSE)

XTRA:BSD2
Company: Banco Santander, S.A.
(IQT243074305) - XETRA Trading Platform (XTRA)"
Banco Santander-Chile (SNSE:BSANTANDER),SNSE:BSANTANDER,Financials (Primary), 12.7 , 0.068 , 1.98 , 2.77 , 15.5 ,-,-,-,-,-,"DB:BSA
Company: Banco Santander-Chile
(IQT114870708) - Deutsche Boerse AG (DB)

NYSE:BSAC
Company: Banco Santander-Chile
(IQT2592850) - New York Stock Exchange (NYSE)"
Bancolombia S.A. (BVC:BCOLOMBIA),BVC:BCOLOMBIA,Financials (Primary); Communication Services; Industrials, 55.2 , 9.81 , 0.964 , (8.09)  , 1.76 ,-,-,-,-,-,"DB:BXK
Company: Bancolombia S.A.
(IQT28665280) - Deutsche Boerse AG (DB)

NYSE:CIB
Company: Bancolombia S.A.
(IQT2592854) - New York Stock Exchange (NYSE)"
BancorpSouth Bank (NYSE:BXS),NYSE:BXS,Financials (Primary), 10.8 , 38.0 , 1.12 , 9.23 , 10.4 ,-,-,-,-,New York Stock Exchange (NYSE),"DB:BTO
Company: BancorpSouth Bank
(IQT541676807) - Deutsche Boerse AG (DB)"
Bancroft Fund Ltd. (NYSEAM:BCV),NYSEAM:BCV,Financials (Primary), 6.84 , 43.17 , 1.13 , (1.18)  , 15.4 , 1.31 ,-, 0.023 ,-,NYSE MKT LLC (NYSEAM),-
BANDAI NAMCO Holdings Inc. (TSE:7832),TSE:7832,Consumer Discretionary (Primary); Communication Services; Consumer Staples; Financials; Health Care; Industrials, 34.9 , 94.08 , 3.34 , 2.99 , 10.1 , 2.59 , 15.1 , 1.1 , 3.81 ,The Tokyo Stock Exchange (TSE),"DB:N9B
Company: BANDAI NAMCO Holdings Inc.
(IQT20205400) - Deutsche Boerse AG (DB)"
"Bandelier, SICAV, S.A. (BME:S4064)",BME:S4064,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
