Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
"Jiangxi Guotai Group Co., Ltd. (SHSE:603977)",SHSE:603977,Commodity Chemicals (Primary),Public Company, 20.1 , 1.56 , 1.85 , 45.8 , 9.73 , 2.81 , 20.1 , 0.489 , 20.3 
"Jiangxi Hungpai New Material Co., Ltd. (SHSE:605366)",SHSE:605366,Commodity Chemicals (Primary),Public Company, 30.2 , 2.42 , 2.26 ,-, 9.38 , 6.17 , 17.3 , 0.602 , 0.471 
"Jiangyin Haida Rubber And Plastic Co., Ltd. (SZSE:300320)",SZSE:300320,Commodity Chemicals (Primary),Public Company, 15.5 , 1.19 , 1.81 , 15.7 , 12.0 , 2.24 , 15.4 , 0.775 , 14.9 
"Jiangyin Jianghua Microelectronics Materials Co., Ltd (SHSE:603078)",SHSE:603078,Commodity Chemicals (Primary),Public Company, 76.8 , 4.99 , 4.17 , 18.7 , 6.02 , 1.3 , 15.7 , 0.338 , 30.5 
"Jiaozuo Xin'an Science & Technology Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Jilin Chemical Fibre Stock Co.,Ltd (SZSE:000420)",SZSE:000420,Commodity Chemicals (Primary),Public Company,NM, 0.721 , 2.43 , 7.07 , (7.21)  , 0.477 , 14.1 , 0.291 , 51.6 
"Jilin Leading Technology Development Co.,Ltd",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Jinan Acetate Chemical Co., Ltd. (TWSE:4763)",TWSE:4763,Commodity Chemicals (Primary),Public Company, 13.4 , 5.18 , 3.95 , 11.2 , 29.7 , 1.98 , 24.1 , 0.826 , 39.4 
Jindal Poly Films Limited (BSE:500227),BSE:500227,Commodity Chemicals (Primary),Public Company, 4.64 , 15.21 , 1.39 , (14.1)  , 35.2 , 2.07 , 27.0 , 0.887 , 22.4 
Jiutian Chemical Group Limited (Catalist:C8R),Catalist:C8R,Commodity Chemicals (Primary),Public Company, 3.11 , 0.088 , 1.39 , 5.52 , 56.8 , 1.47 , 27.8 , 0.872 , 39.7 
Jocil Limited (NSEI:JOCIL),NSEI:JOCIL,Commodity Chemicals (Primary),Public Company, 15.2 , 3.44 , 0.901 , 12.8 ,-,-, 3.88 , 1.97 , 4.4 
Jordan Industrial Resources Co. Ltd. (ASE:JOIR),ASE:JOIR,Commodity Chemicals (Primary),Public Company, 63.2 , 0.342 , 0.201 , (7.79)  , 0.32 , 4.46 , 13.2 , 0.042 , 6.19 
JSP Corporation (TSE:7942),TSE:7942,Commodity Chemicals (Primary),Public Company, 15.9 , 19.62 , 0.581 , (3.51)  , 3.44 , 2.0 , 11.5 , 0.797 , 19.9 
K.B. Recycling Industries Ltd. (TSXV:AKMY),TSXV:AKMY,Commodity Chemicals (Primary),Public Company,NM, 0.431 ,NM,-,-, 1.42 , (270.4)  , 0.205 , 139.7 
Kafrit Industries (1993) Ltd (TASE:KAFR),TASE:KAFR,Commodity Chemicals (Primary),Public Company, 11.4 , 9.28 , 1.46 , 3.4 , 13.6 , 1.86 , 11.7 , 1.3 , 33.4 
KAMA Holdings Limited (BSE:532468),BSE:532468,Commodity Chemicals (Primary),Public Company, 8.44 , 143.94 , 1.36 , 14.6 , 19.5 , 1.75 , 25.3 , 0.691 , 32.6 
Kanchi Karpooram Limited (BSE:538896),BSE:538896,Commodity Chemicals (Primary),Public Company, 10.1 , 22.06 , 4.47 , 23.0 ,-,-, 38.4 , 2.36 , 1.32 
Kaneka Corporation (TSE:4118),TSE:4118,Commodity Chemicals (Primary),Public Company, 17.9 , 52.96 , 0.792 , (1.06)  , 4.68 , 1.46 , 11.1 , 0.874 , 23.9 
"Kangnam Jevisco Co., Ltd (KOSE:A000860)",KOSE:A000860,Commodity Chemicals (Primary),Public Company, 1.73 , 34.99 , 0.306 , 7.58 , 17.9 , 2.43 , 5.07 , 0.492 , 3.37 
Kanoria Chemicals & Industries Limited (NSEI:KANORICHEM),NSEI:KANORICHEM,Commodity Chemicals (Primary),Public Company, 44.4 , 2.68 , 1.1 , 9.38 , 2.72 , 1.22 , 8.55 , 0.8 , 43.8 
Kansai Nerolac Paints Limited (BSE:500165),BSE:500165,Commodity Chemicals (Primary),Public Company, 58.4 , 10.42 , 7.64 , 2.89 , 13.4 , 2.56 , 16.5 , 0.974 , 6.17 
Karyon Industries Berhad (KLSE:KARYON),KLSE:KARYON,Commodity Chemicals (Primary),Public Company, 28.3 , 0.091 , 1.29 , (4.66)  , 4.55 , 5.08 , 5.61 , 1.04 , 7.83 
"Kawaguchi Chemical Industry Co., Ltd (TSE:4361)",TSE:4361,Commodity Chemicals (Primary),Public Company, 17.1 , 16.63 , 0.819 , (1.47)  , 4.88 , 1.32 , 7.85 , 0.916 , 62.3 
Kazan Public Joint Stock Company Organichesky sintez (MISX:KZOS),MISX:KZOS,Commodity Chemicals (Primary),Public Company, 18.9 , 1.65 , 2.43 , (4.43)  , 12.9 , 2.45 , 21.6 , 0.852 , 0.055 
"KBC Corporation, Ltd. (SHSE:688598)",SHSE:688598,Commodity Chemicals (Primary),Public Company, 87.0 , 48.23 , 13.5 ,-, 24.2 , 8.64 , 42.5 , 0.468 ,-
"KD Chem Co., Ltd. (KOSDAQ:A221980)",KOSDAQ:A221980,Commodity Chemicals (Primary),Public Company, 8.99 , 20.31 , 0.795 , (2.39)  , 9.19 , 3.22 , 14.9 , 0.522 , 11.5 
KEIWA Incorporated (TSE:4251),TSE:4251,Commodity Chemicals (Primary),Public Company, 33.9 , 40.52 , 3.87 , (0.237)  , 12.9 , 1.49 , 15.5 , 0.895 , 45.8 
Keltech Energies Limited (BSE:506528),BSE:506528,Commodity Chemicals (Primary),Public Company, 32.4 , 11.02 , 0.951 , 2.9 , 2.98 , 1.2 , 6.12 , 1.61 , 23.9 
Kesar Petroproducts Limited (BSE:524174),BSE:524174,Commodity Chemicals (Primary),Public Company,NM, 0.086 , 0.401 , (13.8)  ,-,-, (0.771)  , 0.867 , 6.71 
"KH Neochem Co., Ltd. (TSE:4189)",TSE:4189,Commodity Chemicals (Primary),Public Company, 19.5 , 31.69 , 2.17 , (5.53)  , 11.2 , 1.28 , 13.5 , 0.782 , 31.9 
"Kharg Petrochemical Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Khimprom Public Joint stock company (MISX:HIMCP),MISX:HIMCP,Commodity Chemicals (Primary),Public Company, 7.46 , 0.153 , 1.48 , 14.5 , 26.6 , 1.03 , 16.0 , 1.36 , 58.1 
"Kimoto Co., Ltd. (TSE:7908)",TSE:7908,Commodity Chemicals (Primary),Public Company, 25.8 , 3.25 , 0.698 , (8.07)  , 2.76 , 6.41 , 10.0 , 0.509 , 0.216 
"Kingfa Sci. & Tech. Co., Ltd. (SHSE:600143)",SHSE:600143,Commodity Chemicals (Primary),Public Company, 10.1 , 4.27 , 3.38 , 18.3 , 39.3 , 1.71 , 19.3 , 1.14 , 41.5 
Kingfa Science & Technology (India) Limited (BSE:524019),BSE:524019,Commodity Chemicals (Primary),Public Company, 230.4 , 18.35 , 3.46 , 1.4 , 1.52 , 1.45 , 3.74 , 0.99 , 10.6 
Kkalpana Industries (India) Limited (BSE:526409),BSE:526409,Commodity Chemicals (Primary),Public Company, 14.8 , 0.68 , 0.958 , (3.38)  , 6.69 , 1.41 , 4.08 , 2.01 , 22.9 
Kkalpana Plastick Limited (BSE:523652),BSE:523652,Commodity Chemicals (Primary),Public Company, 17.4 , 0.06 , 0.251 ,-, 1.55 , 76.3 ,-,-,-
"KNC Laboratories Co., Ltd. (TSE:6568)",TSE:6568,Commodity Chemicals (Primary),Public Company, 19.8 , 15.76 , 2.07 , (1.52)  , 4.0 , 4.0 , 26.1 , 0.472 , 12.5 
"KNW Co., Ltd. (KOSDAQ:A105330)",KOSDAQ:A105330,Commodity Chemicals (Primary),Public Company, 111.0 , 11.9 , 1.92 , (18.1)  , 1.68 , 1.35 , (8.94)  , 0.75 , 24.5 
"Kodama Chemical Industry Co.,Ltd. (TSE:4222)",TSE:4222,Commodity Chemicals (Primary),Public Company, 16.3 , 5.59 , 1.11 , (11.7)  , 16.4 , 0.756 , 9.49 , 1.06 , 57.9 
"Kolon Industries, Inc. (KOSE:A120110)",KOSE:A120110,Commodity Chemicals (Primary),Public Company, 32.1 , 78.86 , 0.885 , (2.87)  , 3.94 , 0.9 , 10.6 , 0.781 , 44.8 
"Kolon Plastics, Inc. (KOSE:A138490)",KOSE:A138490,Commodity Chemicals (Primary),Public Company, 30.1 , 9.19 , 1.45 , 5.32 , 4.94 , 1.52 , 7.52 , 0.899 , 23.0 
"Konishi Co., Ltd. (TSE:4956)",TSE:4956,Commodity Chemicals (Primary),Public Company, 11.6 , 19.55 , 0.88 , 1.34 , 7.89 , 1.93 , 6.95 , 1.22 , 1.08 
"Kopla Co., Ltd. (KOSDAQ:A126600)",KOSDAQ:A126600,Commodity Chemicals (Primary),Public Company, 9.16 , 7.84 , 1.1 , 6.47 , 12.7 , 3.4 , 10.0 , 0.984 , 5.14 
Koppers Holdings Inc. (NYSE:KOP),NYSE:KOP,Commodity Chemicals (Primary),Public Company, 5.87 , 41.64 , 1.75 , 2.95 , 46.3 , 2.28 , 14.5 , 1.06 , 71.7 
"Korea Alcohol Industrial Co., Ltd. (KOSDAQ:A017890)",KOSDAQ:A017890,Commodity Chemicals (Primary),Public Company, 5.77 , 17.58 , 0.787 , 19.7 , 14.7 , 2.71 , 18.4 , 0.798 , 10.0 
"Korea Petrochemical Ind. Co., Ltd. (KOSE:A006650)",KOSE:A006650,Commodity Chemicals (Primary),Public Company, 6.85 , 299.56 , 0.803 , (0.2)  , 12.4 , 4.56 , 23.6 , 0.906 , 3.46 
Kothari Petrochemicals Limited (NSEI:KOTHARIPET),NSEI:KOTHARIPET,Commodity Chemicals (Primary),Public Company, 10.7 , 0.74 , 1.94 , 5.55 , 20.2 , 1.96 , 16.5 , 1.45 , 2.26 
"KOYJ Co., Ltd. (KOSDAQ:A121850)",KOSDAQ:A121850,Commodity Chemicals (Primary),Public Company,NM, 5.79 , 5.13 , 14.5 , (25.3)  , 1.35 , (4.6)  , 0.906 , 51.3 
KP Chemical Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"KPX Chemical Co.,Ltd. (KOSE:A025000)",KOSE:A025000,Commodity Chemicals (Primary),Public Company, 4.43 , 79.33 , 0.601 , 3.61 , 14.4 , 2.74 , 10.4 , 1.27 , 2.37 
"KPX Holdings Co.,Ltd. (KOSE:A092230)",KOSE:A092230,Commodity Chemicals (Primary),Public Company, 31.0 , 85.37 , 0.386 , 6.94 , 5.23 , 2.11 , 10.8 , 0.606 , 9.3 
"Kraig Biocraft Laboratories, Inc. (OTCPK:KBLB)",OTCPK:KBLB,Commodity Chemicals (Primary),Public Company,NM, 0.157 ,NM,-,NM, 0.118 ,-,-,NM
"Kronos Worldwide, Inc. (NYSE:KRO)",NYSE:KRO,Commodity Chemicals (Primary),Public Company, 29.5 , 19.43 , 2.08 , (2.03)  , 7.14 , 4.7 , 9.54 , 0.819 , 39.2 
"Kukdo Chemical Co., Ltd. (KOSE:A007690)",KOSE:A007690,Commodity Chemicals (Primary),Public Company, 8.76 , 81.23 , 0.67 , 0.283 , 7.94 , 1.47 , 7.63 , 1.23 , 28.2 
"Kukdong Oil & Chemicals Co.,Ltd (KOSE:A014530)",KOSE:A014530,Commodity Chemicals (Primary),Public Company, 25.9 , 6.28 , 1.04 , 0.1 , 3.68 , 1.31 , 2.93 , 2.14 , 30.2 
"Kumho Petrochemical Co., Ltd. (KOSE:A011780)",KOSE:A011780,Commodity Chemicals (Primary),Public Company, 7.52 , 260.49 , 1.73 , 2.87 , 30.0 , 1.54 , 25.7 , 1.01 , 22.4 
"Kumyang Co., Ltd. (KOSE:A001570)",KOSE:A001570,Commodity Chemicals (Primary),Public Company,NM, 6.5 , 2.61 , (2.38)  , (4.29)  , 1.77 , 6.35 , 0.793 , 52.1 
"Kuraray Co., Ltd. (TSE:3405)",TSE:3405,Commodity Chemicals (Primary),Public Company,NM, 13.2 , 0.715 , 0.491 , 0.363 , 2.61 , 20.5 , 0.53 , 39.8 
Kureha Corporation (TSE:4023),TSE:4023,Commodity Chemicals (Primary),Public Company, 8.88 , 74.81 , 0.651 , (0.627)  , 7.73 , 1.92 , 19.0 , 0.574 , 12.6 
Kuriyama Holdings Corporation (TSE:3355),TSE:3355,Commodity Chemicals (Primary),Public Company, 8.96 , 9.02 , 0.584 , 0.68 , 6.9 , 1.93 , 9.12 , 1.08 , 34.6 
Kuwer Industries Limited (BSE:530421),BSE:530421,Commodity Chemicals (Primary),Public Company,NM, 0.112 , 0.328 , 11.1 ,-,-, 6.46 , 1.2 , 57.5 
"Kyowa Leather Cloth Co., Ltd. (TSE:3553)",TSE:3553,Commodity Chemicals (Primary),Public Company, 12.1 , 8.66 , 0.532 , (5.63)  , 3.72 , 1.77 , 9.31 , 0.803 , 2.05 
"Lake Materials Co., Ltd. (KOSDAQ:A281740)",KOSDAQ:A281740,Commodity Chemicals (Primary),Public Company, 39.9 , 4.85 , 6.16 ,-, 16.5 , 1.12 , 23.7 , 0.56 , 49.9 
Landmark Holding Joint Stock Company (UNQ-VNM:LMH),UNQ-VNM:LMH,Commodity Chemicals (Primary),Public Company,-,-, 0.116 ,-,-,-,-,-,-
Lee & Man Chemical Company Limited (SEHK:746),SEHK:746,Commodity Chemicals (Primary),Public Company, 7.99 , 0.844 , 0.904 , 1.39 , 12.1 , 1.52 , 19.4 , 0.482 , 25.7 
"LEMON Co., Ltd. (KOSDAQ:A294140)",KOSDAQ:A294140,Commodity Chemicals (Primary),Public Company, 24.0 , 10.01 , 3.85 ,-, 19.6 , 2.06 , 32.7 , 0.813 , 34.8 
Lenzing Aktiengesellschaft (WBAG:LNZ),WBAG:LNZ,Commodity Chemicals (Primary),Public Company,NM, 167.17 , 1.35 , (8.97)  , (0.017)  , 3.08 , 13.4 , 0.465 , 45.2 
"LG Chem, Ltd. (KOSE:A051910)",KOSE:A051910,Commodity Chemicals (Primary),Public Company, 51.9 , 973.29 , 3.41 , 8.6 , 8.47 , 1.34 , 16.3 , 0.798 , 35.2 
"LG Petrochemical Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Liaoyuan Deheng Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Lily Group Co., Ltd. (SHSE:603823)",SHSE:603823,Commodity Chemicals (Primary),Public Company, 15.8 , 3.17 , 2.6 , 12.9 , 17.2 , 1.99 , 21.6 , 0.695 , 5.21 
Lime Chemicals Limited (BSE:507759),BSE:507759,Commodity Chemicals (Primary),Public Company, 13.7 , 0.559 ,NM, (21.9)  ,-,-, 7.89 , 1.31 , 426.4 
Link Pharma Chem Limited (BSE:524748),BSE:524748,Commodity Chemicals (Primary),Public Company, 14.6 , 0.648 , 1.27 , 13.9 , 9.04 , 1.62 , 8.54 , 1.54 , 23.0 
LINTEC Corporation (TSE:7966),TSE:7966,Commodity Chemicals (Primary),Public Company, 15.1 , 29.08 , 0.875 , (1.79)  , 5.84 , 2.68 , 12.5 , 0.844 , 2.61 
"Lithium & Boron Technology, Inc. (OTCPK:LBTI)",OTCPK:LBTI,Commodity Chemicals (Primary),Public Company,NM, 1.78 , 118.2 ,-, (5.76)  , 1.1 , 0.629 , 1.1 ,-
"Little Sioux Corn Processors, L.L.C. (OTCPK:LTUU)",OTCPK:LTUU,Commodity Chemicals (Primary),Public Company, 8.07 ,-, 1.06 , 2.59 , 13.7 , 2.86 ,-, 1.79 ,-
Loabiran Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Lomon Billions Group Co., Ltd. (SZSE:002601)",SZSE:002601,Commodity Chemicals (Primary),Public Company, 28.1 , 7.07 , 4.33 , 13.0 , 14.6 , 0.983 , 30.7 , 0.465 , 36.7 
"Longxing Chemical Stock Co., Ltd. (SZSE:002442)",SZSE:002442,Commodity Chemicals (Primary),Public Company, 18.3 , 1.25 , 2.06 , (2.35)  , 11.9 , 1.26 , 14.7 , 0.886 , 36.0 
"Loop Industries, Inc. (NasdaqGM:LOOP)",NasdaqGM:LOOP,Commodity Chemicals (Primary),Public Company,NM, 17.48 , 16.8 ,-, (102.0)  , 4.15 ,-,-, 6.96 
Lordos United Plastics Public Limited (CSE:LPL),CSE:LPL,Commodity Chemicals (Primary),Public Company, 51.7 , 0.129 , 0.207 , 1.55 , 0.402 , 1.31 , 7.24 , 0.529 , 40.6 
Lords Chloro Alkali Limited (BSE:500284),BSE:500284,Commodity Chemicals (Primary),Public Company,NM, 0.689 , 1.15 , (0.51)  ,-,-, 2.46 , 1.21 , 41.7 
Lotte Chemical Corporation (KOSE:A011170),KOSE:A011170,Commodity Chemicals (Primary),Public Company, 12.6 , 322.65 , 0.695 , (6.42)  , 5.66 , 2.22 , 14.5 , 0.62 , 19.7 
Lotte Chemical Pakistan Limited (KASE:LOTCHEM),KASE:LOTCHEM,Commodity Chemicals (Primary),Public Company, 6.61 , 0.137 , 1.25 , 2.61 , 21.0 , 2.25 , 12.1 , 1.29 , 9.02 
Lotte Chemical Titan Holding Berhad (KLSE:LCTITAN),KLSE:LCTITAN,Commodity Chemicals (Primary),Public Company, 9.29 , 1.0 , 0.565 , (1.32)  , 5.95 , 7.03 , 20.0 , 0.497 , 0.405 
"LTC Co.,Ltd (KOSDAQ:A170920)",KOSDAQ:A170920,Commodity Chemicals (Primary),Public Company,NM, 15.22 , 1.14 , 10.9 , (7.64)  , 1.29 , 7.21 , 0.56 , 40.7 
Lub-rref (Bangladesh) Limited (DSE:LRBDL),DSE:LRBDL,Commodity Chemicals (Primary),Public Company, 15.9 , 0.831 , 1.42 ,-,-, 3.3 , 40.5 , 0.326 , 27.9 
"Lucky Film Company,Limited (SHSE:600135)",SHSE:600135,Commodity Chemicals (Primary),Public Company, 70.5 , 1.28 , 1.32 , 6.39 , 1.99 , 4.49 , 4.18 , 0.668 , 3.86 
Luster Industries Bhd (KLSE:LUSTER),KLSE:LUSTER,Commodity Chemicals (Primary),Public Company, 81.1 , 0.066 , 2.09 , 5.53 , 2.98 , 3.97 , 9.43 , 0.613 , 4.61 
"Luyang Energy-Saving Materials Co., Ltd. (SZSE:002088)",SZSE:002088,Commodity Chemicals (Primary),Public Company, 16.9 , 4.31 , 3.0 , 16.7 , 18.7 , 2.83 , 23.1 , 0.728 , 0.299 
LyondellBasell Industries N.V. (NYSE:LYB),NYSE:LYB,Commodity Chemicals (Primary),Public Company, 14.3 , 135.02 , 3.81 , (6.44)  , 28.7 , 1.74 , 14.5 , 0.843 , 68.8 
M Vest Water AS (OB:MVW),OB:MVW,Commodity Chemicals (Primary),Public Company,-, 2.97 ,-,-,-,-,-,-,-
Mabuhay Vinyl Corporation (PSE:MVC),PSE:MVC,Commodity Chemicals (Primary),Public Company, 10.8 , 0.142 , 1.2 , (5.53)  , 11.6 , 8.71 , 25.7 , 0.685 , 0.902 
Macondray Plastics Inc,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Malion New Materials Co., Ltd. (SZSE:300586)",SZSE:300586,Commodity Chemicals (Primary),Public Company, 82.5 , 1.79 , 5.05 , 47.7 , 3.6 , 1.3 , 13.0 , 0.811 , 37.4 
Mangalam Organics Limited (BSE:514418),BSE:514418,Commodity Chemicals (Primary),Public Company, 7.96 , 14.27 , 2.7 , 12.0 , 40.5 , 3.55 , 38.0 , 1.29 , 8.82 
"Maoming Petro-Chemical Shihua Co., Ltd (SZSE:000637)",SZSE:000637,Commodity Chemicals (Primary),Public Company, 32.8 , 0.819 , 2.22 , (0.291)  , 5.63 , 1.09 , 2.07 , 2.34 , 37.3 
Marshall Boya Ve Vernik Sanayii A.S. (IBSE:MRSHL),IBSE:MRSHL,Commodity Chemicals (Primary),Public Company, 64.9 , 40.86 , 20.0 , 14.9 , 36.3 , 1.01 , 9.13 , 1.28 , 52.7 
"Maruo Calcium Co., Ltd. (TSE:4102)",TSE:4102,Commodity Chemicals (Primary),Public Company, 19.2 , 17.91 , 0.349 , (3.42)  , 2.13 , 2.79 , 7.66 , 0.677 , 19.3 
Mayur Uniquoters Limited (BSE:522249),BSE:522249,Commodity Chemicals (Primary),Public Company, 24.7 , 8.89 , 3.55 , (3.47)  , 15.0 , 4.12 , 24.4 , 0.706 , 5.37 
"McWhorter Technologies, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Mediastream Ltd.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Mega Polietilen Köpük Sanayi ve Ticaret Anonim Sirketi (IBSE:MEGAP),IBSE:MEGAP,Commodity Chemicals (Primary),Public Company, 18.0 , 1.21 , 4.51 , 164.5 , 40.2 , 1.36 , 1.96 , 2.19 , 40.3 
Meghmani Organics Limited (BSE:532865),BSE:532865,Commodity Chemicals (Primary),Public Company, 18.8 ,-, 2.98 , (2.63)  , 14.5 , 1.62 , 22.6 , 0.705 , 16.3 
MEIGU Technology Holding Group Limited (SEHK:8349),SEHK:8349,Commodity Chemicals (Primary),Public Company, 50.8 , 0.127 , 4.16 , 11.8 , 8.64 ,-, 13.4 , 1.09 , 7.8 
Melamin kemicna tovarna d.d. Kocevje (LJSE:MKOG),LJSE:MKOG,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Meranol S.A.C.I. (BASE:MERA),BASE:MERA,Commodity Chemicals (Primary),Public Company,-,-,-, 62.5 , 8.2 , 0.8 , 8.68 , 0.853 , 42.4 
Mercan Kimya Sanayi Ve Ticaret Anonim Sirketi (IBSE:MERCN),IBSE:MERCN,Commodity Chemicals (Primary),Public Company,-, 1.46 ,-,-,-,-,-,-,-
Mesaieed Petrochemical Holding Company Q.P.S.C. (DSM:MPHC),DSM:MPHC,Commodity Chemicals (Primary),Public Company, 27.7 , 0.697 , 1.51 , (5.06)  , 5.68 , 4.81 ,-, 0.04 ,-
Methanex Corporation (TSX:MX),TSX:MX,Commodity Chemicals (Primary),Public Company,NM, 44.2 , 1.95 , (3.12)  , (2.16)  , 2.11 , 10.3 , 0.487 , 68.2 
Meyer Plc (NGSE:MEYER),NGSE:MEYER,Commodity Chemicals (Primary),Public Company, 0.253 , 0.002 , 0.161 , (8.97)  , 92.5 , 2.12 , (18.9)  , 0.243 , 2.81 
"MICS Chemical Co., Ltd. (JASDAQ:7899)",JASDAQ:7899,Commodity Chemicals (Primary),Public Company, 65.3 , 4.25 , 0.58 , (1.83)  , 0.887 , 3.73 , 6.69 , 0.635 , 0.38 
Millennium Plastics Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Millepede International Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Mipox Corporation (JASDAQ:5381),JASDAQ:5381,Commodity Chemicals (Primary),Public Company, 84.4 , 7.57 , 1.68 , (2.02)  , 2.05 , 2.34 , 9.48 , 0.659 , 53.9 
"Miracll Chemicals Co.,Ltd (SZSE:300848)",SZSE:300848,Commodity Chemicals (Primary),Public Company, 33.8 , 6.6 , 5.24 ,-, 21.5 , 2.24 , 14.1 , 1.02 , 1.14 
Misr Chemical Industries Co. (CASE:MICH),CASE:MICH,Commodity Chemicals (Primary),Public Company, 5.55 , 0.933 , 1.46 , 10.2 ,-, 3.9 , 41.5 , 0.621 ,-
Mitsu Chem Plast Limited (BSE:540078),BSE:540078,Commodity Chemicals (Primary),Public Company, 26.6 , 3.87 , 6.5 , 16.7 , 27.7 , 1.25 , 12.9 , 1.54 , 61.8 
"Mitsui Chemicals, Inc. (TSE:4183)",TSE:4183,Commodity Chemicals (Primary),Public Company, 12.6 , 45.95 , 1.21 , (3.02)  , 9.96 , 1.69 , 12.3 , 0.798 , 42.8 
"MNtech Co., Ltd. (KOSDAQ:A095500)",KOSDAQ:A095500,Commodity Chemicals (Primary),Public Company, 4.21 , 5.5 , 0.537 , 18.9 , 15.5 , 1.75 , 11.6 , 1.2 , 32.9 
MORESCO Corporation (TSE:5018),TSE:5018,Commodity Chemicals (Primary),Public Company, 20.4 , 13.47 , 0.651 , (4.29)  , 3.69 , 1.88 , 8.87 , 0.877 , 15.6 
"Moriroku Holdings Company, Ltd. (TSE:4249)",TSE:4249,Commodity Chemicals (Primary),Public Company, 98.1 , 27.1 , 0.535 , (5.15)  , 0.698 , 1.32 , 8.21 , 1.22 , 25.7 
Mortech Corporation (TPEX:7419),TPEX:7419,Commodity Chemicals (Primary),Public Company,NM, 0.724 , 1.4 , (3.6)  , (4.08)  , 14.1 , (5.42)  , 0.172 , 6.56 
MPL Plastics Limited (BSE:526143),BSE:526143,Commodity Chemicals (Primary),Public Company,NM, 0.126 ,NM, (83.0)  ,-,-,-, 0.446 ," 5,315.2 "
"Mucinno Holding, Inc. (OTCPK:CTLE.D)",OTCPK:CTLE.D,Commodity Chemicals (Primary),Public Company,NM, 0.067 ,NM,-,-,-,-,-,-
Multibase India Limited (BSE:526169),BSE:526169,Commodity Chemicals (Primary),Public Company, 42.9 , 4.15 , 2.65 , (22.3)  ,-,-, 13.0 , 0.525 ,-
Multibax Public Company Limited (SET:MBAX),SET:MBAX,Commodity Chemicals (Primary),Public Company, 9.12 , 0.271 , 2.08 , 3.19 , 23.8 , 0.951 , 12.8 , 1.44 , 46.9 
Muto Seiko Co. (JASDAQ:7927),JASDAQ:7927,Commodity Chemicals (Primary),Public Company, 15.2 , 7.42 , 0.364 , (9.35)  , 2.73 , 2.13 , 12.2 , 0.866 , 32.3 
Nahar Poly Films Limited (BSE:523391),BSE:523391,Commodity Chemicals (Primary),Public Company, 5.96 , 2.75 , 0.71 , 6.4 , 13.7 , 0.99 , 21.6 , 0.574 , 9.57 
Nama Chemicals Co. (SASE:2210),SASE:2210,Commodity Chemicals (Primary),Public Company,NM, 16.25 , 3.44 , (9.5)  , (9.68)  , 0.519 , 6.98 , 0.34 , 72.4 
Nan Ya Plastics Corporation (TWSE:1303),TWSE:1303,Commodity Chemicals (Primary),Public Company, 15.4 , 3.98 , 1.78 , (1.96)  , 12.3 , 1.77 , 17.0 , 0.48 , 29.3 
"Nanjing Chemical Fiber Co., Ltd. (SHSE:600889)",SHSE:600889,Commodity Chemicals (Primary),Public Company, 13.7 , 1.27 , 1.47 , (34.2)  , 10.9 , 1.64 , (12.3)  , 0.173 , 2.65 
"Nanjing Well Pharmaceutical Group Co.,Ltd. (SHSE:603351)",SHSE:603351,Commodity Chemicals (Primary),Public Company, 27.9 , 4.24 , 2.0 , 3.9 , 7.27 , 1.33 , 17.7 , 0.476 , 8.21 
"Nanning Chemical Industry Co., Ltd. (SHSE:600301)",SHSE:600301,Commodity Chemicals (Primary),Public Company, 218.5 , 1.4 , 4.74 , 53.2 , 2.13 , 4.15 , 0.263 , 1.88 ,-
Nanofilm Technologies International Limited (SGX:MZH),SGX:MZH,Commodity Chemicals (Primary),Public Company, 50.1 , 5.28 , 8.07 , 28.2 , 20.5 , 4.07 , 41.9 , 0.558 , 8.76 
NanoXplore Inc. (TSXV:GRA),TSXV:GRA,Commodity Chemicals (Primary),Public Company,NM, 3.76 , 5.22 , 113.9 , (12.8)  , 3.83 , (11.1)  , 0.631 , 37.8 
