Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
Carbios SAS (ENXTPA:ALCRB),ENXTPA:ALCRB,Commodity Chemicals (Primary),Public Company,NM, 59.02 , 6.08 , 18.7 , (16.3)  , 9.31 ,-, 0.036 , 10.3 
Carbon Polymers Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Carbonxt Group Limited (ASX:CG1),ASX:CG1,Commodity Chemicals (Primary),Public Company,NM, 0.136 , 2.47 , 38.4 , (63.2)  , 0.618 , (31.4)  , 0.811 , 53.5 
Cardia Bioplastics Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Carlit Holdings Co., Ltd. (TSE:4275)",TSE:4275,Commodity Chemicals (Primary),Public Company, 14.2 , 8.99 , 0.605 , (4.2)  , 4.46 , 1.62 , 7.94 , 0.912 , 21.0 
Cartan Holdings Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Castrol India Limited (BSE:500870),BSE:500870,Commodity Chemicals (Primary),Public Company, 20.8 , 2.67 , 10.3 , (1.79)  ,-,-, 28.3 , 1.3 , 1.22 
Cathay Chemical Works Inc. (TWSE:1713),TWSE:1713,Commodity Chemicals (Primary),Public Company, 34.1 , 1.2 , 1.55 , (11.5)  , 4.66 , 25.8 , 6.66 , 0.193 ,-
"CENOTEC Co., Ltd. (KOSDAQ:A222420)",KOSDAQ:A222420,Commodity Chemicals (Primary),Public Company,-, 2.63 ,-,-,-,-,-,-,-
"Cereplast, Inc. (OTCPK:HGYN)",OTCPK:HGYN,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-,-,-
"Changzhou Tiansheng New Materials Co., Ltd. (SZSE:300169)",SZSE:300169,Commodity Chemicals (Primary),Public Company,NM, 1.67 , 4.24 , 6.96 , (36.2)  , 1.05 , (4.09)  , 0.503 , 46.9 
CHAR Technologies Ltd. (TSXV:YES),TSXV:YES,Commodity Chemicals (Primary),Public Company,NM, 0.647 , 5.95 , 34.9 , (21.2)  , 9.08 , (65.5)  , 0.458 , 18.7 
Chemcrux Enterprises Limited (BSE:540395),BSE:540395,Commodity Chemicals (Primary),Public Company, 15.4 , 5.06 , 3.37 , 19.2 , 24.4 , 4.39 , 23.5 , 1.14 , 1.15 
Chememan Public Company Limited (SET:CMAN),SET:CMAN,Commodity Chemicals (Primary),Public Company,NM, 0.114 , 1.24 , 1.42 , (5.17)  , 0.694 , 10.5 , 0.384 , 61.9 
Chemfab Alkalis Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Chemfab Alkalis Limited (BSE:541269),BSE:541269,Commodity Chemicals (Primary),Public Company,NM, 2.69 , 0.778 , 0.222 , (3.0)  , 1.83 , 12.9 , 0.529 , 10.6 
Chemical Industries (Far East) Limited (SGX:C05),SGX:C05,Commodity Chemicals (Primary),Public Company, 10.6 , 0.78 , 0.475 , (3.84)  , 4.54 , 4.19 , 23.8 , 0.441 , 4.24 
Chemolak a.s. (BSSE:1CHL01AE),BSSE:1CHL01AE,Commodity Chemicals (Primary),Public Company,NM,-, 1.53 , (3.59)  , (4.11)  , 0.685 , 5.7 , 1.15 , 51.2 
Chemtrade Logistics Income Fund (TSX:CHE.UN),TSX:CHE.UN,Commodity Chemicals (Primary),Public Company,NM, 7.6 , 1.2 , (5.62)  , (12.9)  , 1.62 , 12.8 , 0.523 , 69.9 
"Chengzhi Shareholding Co., Ltd. (SZSE:000990)",SZSE:000990,Commodity Chemicals (Primary),Public Company, 18.6 , 2.66 , 0.922 , 23.5 , 5.05 , 1.2 , 17.6 , 0.402 , 24.6 
Chevron Lubricants Lanka PLC (COSE:LLUB.N0000),COSE:LLUB.N0000,Commodity Chemicals (Primary),Public Company, 11.6 , 0.729 , 6.19 , 1.73 , 53.5 , 1.96 , 27.6 , 1.65 , 8.06 
"Chin Yang Industry Co., Ltd. (KOSE:A003780)",KOSE:A003780,Commodity Chemicals (Primary),Public Company, 15.7 , 6.83 , 1.75 , 13.1 , 11.4 , 1.52 , 13.3 , 1.03 , 21.1 
China Chemical Corp. (OTCPK:CHCC),OTCPK:CHCC,Commodity Chemicals (Primary),Public Company, 0.018 , 0.013 , 0.003 ,-,-,-,-,-,-
China Energy and Carbon Black Holdings Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
China General Plastics Corporation (TWSE:1305),TWSE:1305,Commodity Chemicals (Primary),Public Company, 9.35 , 1.75 , 1.9 , (0.075)  , 22.9 , 2.69 , 23.1 , 1.05 , 2.21 
"China Hainan Rubber Industry Group Co., Ltd. (SHSE:601118)",SHSE:601118,Commodity Chemicals (Primary),Public Company, 114.8 , 1.07 , 2.26 , 15.5 , 1.92 , 2.27 , 2.99 , 0.911 , 31.6 
